,Title,Year,IMDB Rating,Metacritic Rating
0,Glass Onion: une histoire à couteaux tirés,(2022),"7,3",
1,Avatar: la voie de l'eau,(2022),"7,9",
2,À couteaux tirés,(2019),"7,9",
3,Babylon,(2022),"7,4",
4,Avatar,(2009),"7,9",
5,Les Banshees d'Inisherin,(2022),"7,9",
6,Christmas Story,(1983),"7,9",
7,"Matilda, la comédie musicale",(2022),"7,2",
8,Violent Night,(2022),"6,8",
9,Top Gun: Maverick,(2022),"8,4",
10,Bullet Train,(2022),"7,3",
11,Love Actually,(2003),"7,6",
12,A Christmas Story Christmas,(2022),"6,7",
13,"Avalonia, l'étrange voyage",(2022),"5,5",
14,"Maman, j'ai raté l'avion!",(1990),"7,7",
15,La vie est belle,(1946),"8,6",
16,Le sapin a les boules,(1989),"7,5",
17,Pinocchio,(2022),"7,7",
18,White Noise,(2022),"5,8",
19,The Fabelmans,(2022),"7,7",
20,Spirited,(2022),"6,6",
21,Le chat potté 2: La dernière quête,(2022),"7,8",
22,Everything Everywhere All at Once,(2022),"8,1",
23,Knock at the Cabin,(2023),,
24,The Whale,(2022),"8,1",
25,Amsterdam,(2022),"6,1",
26,Le Pire voisin au monde,(2022),"6,9",
27,Black Adam,(2022),"6,5",
28,Top Gun,(1986),"6,9",
29,X,(2022),"6,6",
30,Le bal de l'enfer,(2022),"5,3",
31,Piège de cristal,(1988),"8,2",
32,Le Grinch,(2000),"6,3",
33,Le menu,(2022),"7,4",
34,M3gan,(2022),"6,1",
35,Oppenheimer,(2023),,
36,Noël blanc,(1954),"7,5",
37,Elfe,(2003),"7,1",
38,Sans filtre,(2022),"7,6",
39,I Wanna Dance with Somebody,(2022),"6,9",
40,"Maman, j'ai encore raté l'avion... et je suis perdu dans New York",(1992),"6,8",
41,Black Panther: Wakanda Forever,(2022),"7,2",
42,"L'enfant, la taupe, le renard et le cheval",(2022),"8,0",
43,The Batman,(2022),"7,8",
44,Barbare,(2022),"7,1",
45,Don't Worry Darling,(2022),"6,2",
46,Bones and All,(2022),"7,0",
47,Le Pôle Express,(2004),"6,6",
48,Willow,(1988),"7,2",
49,Matilda,(1996),"7,0",
50,Smile,(2022),"6,6",
51,Fantômes en fête,(1988),"6,9",
52,Nope,(2022),"6,9",
53,The Holiday,(2006),"6,9",
54,The Northman,(2022),"7,1",
55,Harry Potter à l'école des sorciers,(2001),"7,6",
56,Aftersun,(2022),"7,8",
57,"A l'Ouest, rien de nouveau",(2022),"7,8",
58,Le Parrain,(1972),"9,2",
59,La légende de Klaus,(2019),"8,1",
60,Barbie,(2023),,
61,Super Noël,(1994),"6,5",
62,Tár,(2022),"7,7",
63,La famille Addams,(1991),"6,9",
64,Le Grinch,(2018),"6,4",
65,Cirkus,(2022),"6,9",
66,The Pale Blue Eye,(2022),"6,5",
67,Là où chantent les écrevisses,(2022),"7,1",
68,Emancipation,(2022),"6,0",
69,Ticket to Paradise,(2022),"6,2",
70,Miracle sur la 34ème rue,(1994),"6,6",
71,Mort sur le Nil,(2022),"6,3",
72,Elvis,(2022),"7,4",
73,The Gray Man,(2022),"6,5",
74,Zoolander,(2001),"6,5",
75,"Encanto, la fantastique famille Madrigal",(2021),"7,2",
76,Emily the Criminal,(2022),"6,7",
77,L'amant de Lady Chatterley,(2022),"6,6",
78,Les animaux fantastiques: Les secrets de Dumbledore,(2022),"6,2",
79,Women Talking,(2022),"7,6",
80,After: Chapitre 4,(2022),"4,5",
81,Coup de théâtre,(2022),"6,5",
82,1917,(2019),"8,2",
83,The Fallout,(2021),"7,0",
84,The Woman King,(2022),"6,7",
85,7 Femmes,(2021),"5,3",
86,Pearl,(2022),"7,0",
87,Noël tombe à pic,(2022),"5,2",
88,Prisoners,(2013),"8,1",
89,Noël chez les Muppets,(1992),"7,7",
90,Avatar 3,(2024),,
91,Les Évadés,(1994),"9,3",
92,About Fate,(2022),"6,3",
93,Thor: Love and Thunder,(2022),"6,3",
94,Le Seigneur des anneaux : La Communauté de l'anneau,(2001),"8,8",
95,Les Goonies,(1985),"7,7",
96,Mourir peut attendre,(2021),"7,3",
97,Interstellar,(2014),"8,6",
98,Dune,(2021),"8,0",
99,Last Christmas,(2019),"6,5",
